"entity_id","prod_sku","prod_libelle","sd_code_sogge","sd_marque","sd_volume","sd_conditionnement","rpd_grouping_code","rpd_libelle","semantic"
"68305","c10-1100000800","PAGO NECTAR ABRICOT 20CL VP X24","84sogge-1769","PAGO","20CL","BTL","94sogge-461","PAGO NECTAR ABRICOT 20CL VP X24"," marque:pago   extra:nectar   parfum:abricot   cont:20cl   cond:vp     col:24"
"82236","mp-2961","PAGO NECTAR ABRICOT 24X20CL","84sogge-1769","PAGO","20CL","BTL","94sogge-461","PAGO NECTAR ABRICOT 24X20CL"," marque:pago   extra:nectar   parfum:abricot     cont:20cl  col:24"
"68323","c10-1100002464","PAGO NECTAR ORANGE 20CL VP X24","84sogge-1800","PAGO","20CL","BTL","94sogge-469","PAGO NECTAR ORANGE 20CL VP X24"," marque:pago   extra:nectar   parfum:orange   cont:20cl   cond:vp     col:24"
"82233","mp-2957","PAGO NECTAR ORANGE 24X20CL","84sogge-1800","PAGO","20CL","BTL","94sogge-469","PAGO NECTAR ORANGE 24X20CL"," marque:pago   extra:nectar   parfum:orange     cont:20cl  col:24"
"68312","c10-1100000801","PAGO NECTAR BANANE 20CL VP X24","84sogge-1820","PAGO","20CL","BTL","94sogge-483","PAGO NECTAR BANANE 20CL VP X24"," marque:pago   extra:nectar   parfum:banane   cont:20cl   cond:vp     col:24"
"82243","mp-3783","PAGO NECTAR BANANE 24X20CL","84sogge-1820","PAGO","20CL","BTL","94sogge-483","PAGO NECTAR BANANE 24X20CL"," marque:pago   extra:nectar   parfum:banane     cont:20cl  col:24"
"82242","mp-2972","PAGO JUS TOMATE 24X20CL","84sogge-1828","PAGO","20CL","BTL","94sogge-184","PAGO JUS TOMATE 24X20CL"," marque:pago   extra:jus   parfum:tomate     cont:20cl  col:24"
"68342","c10-1100000729","PAGO PJ TOMATE VP 20CL VP X24","84sogge-1828","PAGO","20CL","BTL","94sogge-184","PAGO PJ TOMATE VP 20CL VP X24"," marque:pago   extra:jus   parfum:tomate   cond:vp   cont:20cl   cond:vp     col:24"
"68331","c10-1100000952","PAGO NECTAR POIRE 20CL VP X24","84sogge-1846","PAGO","20CL","BTL","94sogge-491","PAGO NECTAR POIRE 20CL VP X24"," marque:pago   extra:nectar   parfum:poire   cont:20cl   cond:vp     col:24"
"82235","mp-2959","PAGO NECTAR POIRE 24X20CL","84sogge-1846","PAGO","20CL","BTL","94sogge-491","PAGO NECTAR POIRE 24X20CL"," marque:pago   extra:nectar   parfum:poire     cont:20cl  col:24"
"82204","mp-260466","BIB PAGO MULTIFRUITS  10 L","84sogge-1849","PAGO","10L","BIB","94sogge-532","BIB PAGO MULTIFRUITS  10 L"," cond:bib   marque:pago   parfum:multifruit    cont:10l  col:1"
"68257","c10-1100001894","PAGO ABC MULTIFRUITS 10L BIB","84sogge-1849","PAGO","10L","BIB","94sogge-532","PAGO ABC MULTIFRUITS 10L BIB"," marque:pago   extra:abc   parfum:multifruit   cont:10l   cond:bib  col:1"
"68328","c10-1100000803","PAGO NECTAR PECHE 20CL VP X24","84sogge-1860","PAGO","20CL","BTL","94sogge-503","PAGO NECTAR PECHE 20CL VP X24"," marque:pago   extra:nectar   parfum:peche   cont:20cl   cond:vp     col:24"
"82239","mp-2965","PAGO NECTAR PECHE 24X20CL","84sogge-1860","PAGO","20CL","BTL","94sogge-503","PAGO NECTAR PECHE 24X20CL"," marque:pago   extra:nectar   parfum:peche     cont:20cl  col:24"
"68316","c10-1100000802","PAGO NECTAR MANGO 20CL VP X24","84sogge-1861","PAGO","20CL","BTL","94sogge-705","PAGO NECTAR MANGO 20CL VP X24"," marque:pago   extra:nectar  MANGO  cont:20cl   cond:vp     col:24"
"82245","mp-7262","PAGO NECTAR MANGO 24X20CL","84sogge-1861","PAGO","20CL","BTL","94sogge-705","PAGO NECTAR MANGO 24X20CL"," marque:pago   extra:nectar  MANGO    cont:20cl  col:24"
"82186","mp-130116","PAGO NECTAR ABRICOT 1 L X 6","84sogge-1864","PAGO","1L","PET","94sogge-506","PAGO NECTAR ABRICOT 1 L X 6"," marque:pago   extra:nectar   parfum:abricot   cont:1l     col:6"
"68303","c10-1100002785","PAGO NECTAR ABRICOT 1L PET X6","84sogge-1864","PAGO","1L","PET","94sogge-506","PAGO NECTAR ABRICOT 1L PET X6"," marque:pago   extra:nectar   parfum:abricot   cont:1l   cond:pet     col:6"
"68261","c10-1100001166","PAGO ABC ORANGE 33CL PET X12","84sogge-1884","PAGO","33CL","PET","","",""
"82252","mp-6264","PAGO PET ORANGE 12X33CL","84sogge-1884","PAGO","33CL","PET","94sogge-13","PAGO PET ORANGE 12X33CL"," marque:pago   cond:pet   parfum:orange     cont:33cl  col:12"
"85844","fb-76303","PAGO PUR JUS ORANGE          PET 12X33CL","84sogge-1884","PAGO","33CL","PET","94sogge-55","PAGO PUR JUS ORANGE          PET 12X33CL"," marque:pago   extra:jus   parfum:orange            cond:pet     cont:33cl  col:12"
"68254","c10-1200042259","PAGO ABC ANANAS 33CL PET X12","84sogge-1894","PAGO","33CL","PET","94sogge-508","PAGO ABC ANANAS 33CL PET X12"," marque:pago   extra:abc   parfum:ananas   cont:33cl   cond:pet     col:12"
"82207","mp-120739","PAGO PET ANANAS 12X33CL","84sogge-1894","PAGO","33CL","PET","94sogge-508","PAGO PET ANANAS 12X33CL"," marque:pago   cond:pet   parfum:ananas     cont:33cl  col:12"
"82187","mp-130117","PAGO NECTAR BANANE  1 L X 6","84sogge-1906","PAGO","1L","PET","94sogge-522","PAGO NECTAR BANANE  1 L X 6"," marque:pago   extra:nectar   parfum:banane    cont:1l     col:6"
"68310","c10-1100002786","PAGO NECTAR BANANE 1L PET X6","84sogge-1906","PAGO","1L","PET","94sogge-522","PAGO NECTAR BANANE 1L PET X6"," marque:pago   extra:nectar   parfum:banane   cont:1l   cond:pet     col:6"
"68270","c10-1100002417","PAGO ABC POMME 20CL VP X12","84sogge-1945","PAGO","20CL","BTL","","",""
"84178","fb-99468","PAGO JUS POMMES CLAIRE           12X20CL","84sogge-1945","PAGO","20CL","BTL","","",""
"68282","c10-1100004289","PAGO ACE 1L PET X6","84sogge-1976","PAGO","1L","PET","","",""
"82193","mp-150481","PAGO BOISSON ACE 1 L X 6","84sogge-1976","PAGO","1L","PET","","",""
"84263","fb-100386","PAGO CRANBERRY               PET 6X100CL","84sogge-1980","PAGO","1L","PET","","",""
"82188","mp-130118","PAGO CRANBERRY  1 L X 6","84sogge-1980","PAGO","1L","PET","","",""
"68292","c10-1100002782","PAGO CRANBERRY 1L PET X6","84sogge-1980","PAGO","1L","PET","","",""
"82192","mp-130122","PAGO JUS TOMATE 1 L X 6","84sogge-1981","PAGO","1L","PET","94sogge-608","PAGO JUS TOMATE 1 L X 6"," marque:pago   extra:jus   parfum:tomate   cont:1l     col:6"
"68340","c10-1100002780","PAGO PJ TOMATE 1L PET X6","84sogge-1981","PAGO","1L","PET","94sogge-608","PAGO PJ TOMATE 1L PET X6"," marque:pago   extra:jus   parfum:tomate   cont:1l   cond:pet     col:6"
"68286","c10-1100000843","PAGO CERISE 20CL VP X24","84sogge-1991","PAGO","20CL","BTL","","",""
"82246","mp-8617","PAGO CERISE 24X20CL","84sogge-1991","PAGO","20CL","BTL","","",""
"82241","mp-2969","PAGO  FRAISE 24X20CL","84sogge-1992","PAGO","20CL","BTL","","",""
"68298","c10-1100000799","PAGO FRAISE 20CL VP X24","84sogge-1992","PAGO","20CL","BTL","","",""
"82222","mp-120821","PAGO  ACE  12 X 20CL","84sogge-2003","PAGO","20CL","BTL","","",""
"68283","c10-1100002408","PAGO ACE 20CL VP X12","84sogge-2003","PAGO","20CL","BTL","","",""
"82237","mp-2963","PAGO  ACE  24 X 20CL","84sogge-2007","PAGO","20CL","BTL","","",""
"68284","c10-1100000795","PAGO ACE 20CL VP X24","84sogge-2007","PAGO","20CL","BTL","","",""
