entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_industriel,vendor_prefix,vendor_name
71145,c10-1200007005,"CHAMP BRUT MILL 75CL BELLE EPOQUE JOUET",,"PERRIER JOUET",RICARD,c10,C10
71146,c10-1200050937,"CHAMP BRUT ROS 75CL BELLE EPOQ PERRIER J",,"PERRIER JOUET",RICARD,c10,C10
71147,c10-1200001424,"CHAMP GD BRUT 75CL PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71148,c10-1200007004,"CHAMP ROS 75CL PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71149,c10-1200029012,"COGNAC POLIGNAC 70CL",,POLIGNAC,RICARD,c10,C10
71150,c10-1200024612,"COGNAC POLIGNAC VSOP 40° 1.5L",,POLIGNAC,RICARD,c10,C10
71151,c10-1200043823,"COGNAC POLIGNAC VSOP 40° 50CL",,POLIGNAC,RICARD,c10,C10
71152,c10-1200056973,"WH IRE POWER'S 12A JOHN LANE 46° 70CL",,POWER'S,RICARD,c10,C10
71153,c10-1200026494,"WH IRE POWER'S 40° 12A 70CL",,POWER'S,RICARD,c10,C10
71154,c10-1200003088,"WH IRE POWER'S 40° 70CL + VERRES",,POWER'S,RICARD,c10,C10
71155,c10-1200000975,"WH IRE POWER'S 70CL",,POWER'S,RICARD,c10,C10
71156,c10-1200037130,"WH IRE POWER'S GOLD 70CL",,POWER'S,RICARD,c10,C10
71157,c10-1200038500,"WH IRE POWER'S SIGNATURE RELEASE 70CL",,POWER'S,RICARD,c10,C10
82735,mp-2010,"MIGN RICARD 54X2CL 45°",,RICARD,RICARD,mp,DISTRIBOISSONS
82731,mp-250800,"PASTIS 51 45% 100CLX6 + 1 MALE",,RICARD,RICARD,mp,DISTRIBOISSONS
82733,mp-882,"RICARD 100 CL 45°",,RICARD,RICARD,mp,DISTRIBOISSONS
82734,mp-250799,"RICARD 45% 100CL X12 + 6 VERRE",,RICARD,RICARD,mp,DISTRIBOISSONS
84302,fb-11244,"RICARD 45°                         100CL",,RICARD,RICARD,fb,"FRANCE BOISSONS"
71158,c10-1200001487,"RICARD 45° 1.5L",,RICARD,RICARD,c10,C10
71159,c10-1200001485,"RICARD 45° 1L",,RICARD,RICARD,c10,C10
71160,c10-1200027804,"RICARD 45° 20CL",,RICARD,RICARD,c10,C10
71161,c10-1200001482,"RICARD 45° 2CL",,RICARD,RICARD,c10,C10
71162,c10-1200019136,"RICARD 45° 35CL",,RICARD,RICARD,c10,C10
71163,c10-1200001489,"RICARD 45° 4.5L",,RICARD,RICARD,c10,C10
71164,c10-1200001486,"RICARD 45° 50CL",,RICARD,RICARD,c10,C10
71165,c10-1200001484,"RICARD 45° 70CL",,RICARD,RICARD,c10,C10
84325,fb-13322,"RICARD 45° GALLON                  450CL",84sogge-524,RICARD,RICARD,fb,"FRANCE BOISSONS"
84309,fb-11245,"RICARD 45° MAGNUM                  150CL",84sogge-447,RICARD,RICARD,fb,"FRANCE BOISSONS"
85963,fb-11366,"RICARD 45° MIGN                      2CL",,RICARD,RICARD,fb,"FRANCE BOISSONS"
71166,c10-1200001483,"RICARD 7.5° 25CL X24",112sogge-229,RICARD,RICARD,c10,C10
82737,mp-8968,"RICARD BOUTEILLE 24X25CL 7.5°",112sogge-229,RICARD,RICARD,mp,DISTRIBOISSONS
71167,c10-1200019722,"ARAK SAIBADA 53° 70CL",,SAIBADA,RICARD,c10,C10
71168,c10-1200011106,"VODKA SEAGRAM 37.5° 35CL",,SEAGRAM,RICARD,c10,C10
71169,c10-1200026980,"WHI SCO SHEEP DIP BLENDED MALT 40° 70CL",,"SHEEP DIP",RICARD,c10,C10
71170,c10-1200026663,"WHI SHEEP DIP PURE MALT 45° 70CL",,"SHEEP DIP",RICARD,c10,C10
71171,c10-1200006107,"WH SCO STRATHISLA 12A 70CL",,STRATHISLA,RICARD,c10,C10
82805,mp-250269,"RHUM VANA 40% 100CL",,VANA,RICARD,mp,DISTRIBOISSONS
71172,c10-1200001425,"RHUM VANA 40° 1L",,VANA,RICARD,c10,C10
71173,c10-1200006570,"TEQUILA VIUDA ROMERO 38° 70CL",84sogge-1681,"VIUDA ROMERO",RICARD,c10,C10
71174,c10-1200015779,"PORTO WARRE RGE 10A 75CL",,WARRE,RICARD,c10,C10
