entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel
82219,mp-120818,PAGO  FRAISE 12X20CL,84sogge-1227,PAGO,BTL,20CL,PAGO FRANCE
82224,mp-120823,PAGO NECTAR POIRE 12 X20CL,84sogge-1234,PAGO,BTL,20CL,PAGO FRANCE
84190,fb-99467,PAGO NECTAR POIRE               12X20CL,84sogge-1234,PAGO,BTL,20CL,PAGO FRANCE
68330,c10-1100002416,PAGO NECTAR POIRE 20CL VP X12,84sogge-1234,PAGO,BTL,20CL,PAGO FRANCE
82247,mp-9202,PAGO NECT PAMPLEMOUSSE 24X20CL,84sogge-1236,PAGO,BTL,20CL,PAGO FRANCE
68325,c10-1100002419,PAGO NECTAR PAMPLEMOUSSE 20CL VP X12,84sogge-1236,PAGO,BTL,20CL,PAGO FRANCE
82227,mp-120827,PAGO NECT PAMPLEMOUSSE 12X20CL,84sogge-1236,PAGO,BTL,20CL,PAGO FRANCE
68341,c10-1100002420,PAGO PJ TOMATE 20CL VP X12,84sogge-1237,PAGO,BTL,20CL,PAGO FRANCE
82226,mp-120826,PAGO JUS 100% TOMATE 12 X20CL,84sogge-1237,PAGO,BTL,20CL,PAGO FRANCE
84180,fb-99470,PAGO JUS TOMATE                 12X20CL,84sogge-1237,PAGO,BTL,20CL,PAGO FRANCE
68280,c10-1100000798,PAGO ABC TROPICAL MULTIVITA 20CL VP X24,84sogge-1308,PAGO,BTL,20CL,PAGO FRANCE
82238,mp-2964,PAGO COCKT. TROPICAL 24X20CL,84sogge-1308,PAGO,BTL,20CL,PAGO FRANCE
68339,c10-1100004698,PAGO PJ POMME PRESSEE BIO 33CL PET X12,84sogge-1315,PAGO,PET,33CL,PAGO FRANCE
82209,mp-120741,PAGO BIO POMME PRESSEE 12X33CL,84sogge-1315,PAGO,PET,33CL,PAGO FRANCE
84269,fb-108682,PAGO NECTAR ANANAS       PET 12X33CL,84sogge-1366,PAGO,PET,33CL,PAGO FRANCE
68309,c10-1200049948,PAGO NECTAR ANANAS 33CL PET X12,84sogge-1366,PAGO,PET,33CL,PAGO FRANCE
68308,c10-1100005730,PAGO NECTAR ANANAS 20CL VP X12,84sogge-1367,PAGO,BTL,20CL,PAGO FRANCE
84184,fb-108683,PAGO NECTAR ANANAS           12X20CL,84sogge-1367,PAGO,BTL,20CL,PAGO FRANCE
82231,mp-160452,PAGO NECTAR ANANAS 12X20CL,84sogge-1367,PAGO,PET,33CL,PAGO FRANCE
82191,mp-130121,PAGO COCKTAIL TROPICAL 1 L X 6,84sogge-1458,PAGO,PET,1L,PAGO FRANCE
68276,c10-1100002781,PAGO ABC TROPICAL MULTIVIT 1L PET X6,84sogge-1458,PAGO,PET,1L,PAGO FRANCE
68288,c10-1100000797,PAGO CITRON CITRON VERT 20CL VP X24,84sogge-1508,PAGO,BTL,20CL,PAGO FRANCE
82251,mp-260091,PAGO CITRON CITRON VERT24X20CL,84sogge-1508,PAGO,BTL,20CL,PAGO FRANCE
84192,fb-111980,PAGO ORANGES PRESSEES            12X20CL,84sogge-1539,PAGO,BTL,20CL,PAGO FRANCE
68335,c10-1100006064,PAGO PJ ORANGE PRESSEE 20CL VP X12,84sogge-1539,PAGO,BTL,20CL,PAGO FRANCE
68302,c10-1100001554,PAGO FRAMBOISE AGRUMES 20CL VP X24,84sogge-1543,PAGO,BTL,20CL,PAGO FRANCE
82250,mp-33207,PAGO FRAMBOISE&AGRUMES 24X20CL,84sogge-1543,PAGO,BTL,20CL,PAGO FRANCE
68337,c10-1100002593,PAGO PJ POMME PRESSEE 20CL VP X24,84sogge-1594,PAGO,BTL,20CL,PAGO FRANCE
82240,mp-2967,PAGO POMME PRESSEE 24 X20CL,84sogge-1594,PAGO,BTL,20CL,PAGO FRANCE
82225,mp-120825,PAGO POMME PRESSEE 12 X20CL,84sogge-1613,PAGO,BTL,20CL,PAGO FRANCE
84179,fb-99469,PAGO JUS POMMES PRESSEES        12X20CL,84sogge-1613,PAGO,BTL,20CL,PAGO FRANCE
68336,c10-1100002418,PAGO PJ POMME PRESSEE 20CL VP X12,84sogge-1613,PAGO,BTL,20CL,PAGO FRANCE
68290,c10-1100000951,PAGO CITRON MANDARINE 20CL VP X24,84sogge-1618,PAGO,BTL,20CL,PAGO FRANCE
82249,mp-22509,PAGO CITRON  MANDARINE 24X20CL,84sogge-1618,PAGO,BTL,20CL,PAGO FRANCE
68263,c10-1100002128,PAGO ABC ORANGE BIO 33CL PET X12,84sogge-1675,PAGO,PET,33CL,PAGO FRANCE
82208,mp-120740,PAGO BIO ORANGE 12X33CL,84sogge-1675,PAGO,PET,33CL,PAGO FRANCE
68291,c10-1100001015,PAGO COCO ET FRUITS 20CL VP X12,84sogge-1739,PAGO,BTL,20CL,PAGO FRANCE
82213,mp-22908,PAGO  COCO 12 X 20 CL,84sogge-1739,PAGO,BTL,20CL,PAGO FRANCE
68305,c10-1100000800,PAGO NECTAR ABRICOT 20CL VP X24,84sogge-1769,PAGO,BTL,20CL,PAGO FRANCE
82236,mp-2961,PAGO NECTAR ABRICOT 24X20CL,84sogge-1769,PAGO,BTL,20CL,PAGO FRANCE
82233,mp-2957,PAGO NECTAR ORANGE 24X20CL,84sogge-1800,PAGO,BTL,20CL,PAGO FRANCE
68323,c10-1100002464,PAGO NECTAR ORANGE 20CL VP X24,84sogge-1800,PAGO,BTL,20CL,PAGO FRANCE
68312,c10-1100000801,PAGO NECTAR BANANE 20CL VP X24,84sogge-1820,PAGO,BTL,20CL,PAGO FRANCE
82243,mp-3783,PAGO NECTAR BANANE 24X20CL,84sogge-1820,PAGO,BTL,20CL,PAGO FRANCE
82242,mp-2972,PAGO JUS TOMATE 24X20CL,84sogge-1828,PAGO,BTL,20CL,PAGO FRANCE
68342,c10-1100000729,PAGO PJ TOMATE VP 20CL VP X24,84sogge-1828,PAGO,BTL,20CL,PAGO FRANCE
68331,c10-1100000952,PAGO NECTAR POIRE 20CL VP X24,84sogge-1846,PAGO,BTL,20CL,PAGO FRANCE
82235,mp-2959,PAGO NECTAR POIRE 24X20CL,84sogge-1846,PAGO,BTL,20CL,PAGO FRANCE
82204,mp-260466,BIB PAGO MULTIFRUITS  10 L,84sogge-1849,PAGO,BIB,10L,PAGO FRANCE
68257,c10-1100001894,PAGO ABC MULTIFRUITS 10L BIB,84sogge-1849,PAGO,BIB,10L,PAGO FRANCE
82239,mp-2965,PAGO NECTAR PECHE 24X20CL,84sogge-1860,PAGO,BTL,20CL,PAGO FRANCE
68328,c10-1100000803,PAGO NECTAR PECHE 20CL VP X24,84sogge-1860,PAGO,BTL,20CL,PAGO FRANCE
68316,c10-1100000802,PAGO NECTAR MANGO 20CL VP X24,84sogge-1861,PAGO,BTL,20CL,PAGO FRANCE
82245,mp-7262,PAGO NECTAR MANGO 24X20CL,84sogge-1861,PAGO,BTL,20CL,PAGO FRANCE
68303,c10-1100002785,PAGO NECTAR ABRICOT 1L PET X6,84sogge-1864,PAGO,PET,1L,PAGO FRANCE
82186,mp-130116,PAGO NECTAR ABRICOT 1 L X 6,84sogge-1864,PAGO,PET,1L,PAGO FRANCE
82252,mp-6264,PAGO PET ORANGE 12X33CL,84sogge-1884,PAGO,PET,33CL,PAGO FRANCE
85844,fb-76303,PAGO PUR JUS ORANGE          PET 12X33CL,84sogge-1884,PAGO,PET,33CL,PAGO FRANCE
68261,c10-1100001166,PAGO ABC ORANGE 33CL PET X12,84sogge-1884,PAGO,PET,33CL,PAGO FRANCE
82207,mp-120739,PAGO PET ANANAS 12X33CL,84sogge-1894,PAGO,PET,33CL,PAGO FRANCE
68254,c10-1200042259,PAGO ABC ANANAS 33CL PET X12,84sogge-1894,PAGO,PET,33CL,PAGO FRANCE
82187,mp-130117,PAGO NECTAR BANANE  1 L X 6,84sogge-1906,PAGO,PET,1L,PAGO FRANCE
68310,c10-1100002786,PAGO NECTAR BANANE 1L PET X6,84sogge-1906,PAGO,PET,1L,PAGO FRANCE
84178,fb-99468,PAGO JUS POMMES CLAIRE           12X20CL,84sogge-1945,PAGO,BTL,20CL,PAGO FRANCE
68270,c10-1100002417,PAGO ABC POMME 20CL VP X12,84sogge-1945,PAGO,BTL,20CL,PAGO FRANCE
68282,c10-1100004289,PAGO ACE 1L PET X6,84sogge-1976,PAGO,PET,1L,PAGO FRANCE
82193,mp-150481,PAGO BOISSON ACE 1 L X 6,84sogge-1976,PAGO,PET,1L,PAGO FRANCE
82188,mp-130118,PAGO CRANBERRY  1 L X 6,84sogge-1980,PAGO,PET,1L,PAGO FRANCE
68292,c10-1100002782,PAGO CRANBERRY 1L PET X6,84sogge-1980,PAGO,PET,1L,PAGO FRANCE
84263,fb-100386,PAGO CRANBERRY               PET 6X100CL,84sogge-1980,PAGO,PET,1L,PAGO FRANCE
68340,c10-1100002780,PAGO PJ TOMATE 1L PET X6,84sogge-1981,PAGO,PET,1L,PAGO FRANCE
82192,mp-130122,PAGO JUS TOMATE 1 L X 6,84sogge-1981,PAGO,PET,1L,PAGO FRANCE
82246,mp-8617,PAGO CERISE 24X20CL,84sogge-1991,PAGO,BTL,20CL,PAGO FRANCE
68286,c10-1100000843,PAGO CERISE 20CL VP X24,84sogge-1991,PAGO,BTL,20CL,PAGO FRANCE
82241,mp-2969,PAGO  FRAISE 24X20CL,84sogge-1992,PAGO,BTL,20CL,PAGO FRANCE
68298,c10-1100000799,PAGO FRAISE 20CL VP X24,84sogge-1992,PAGO,BTL,20CL,PAGO FRANCE
82222,mp-120821,PAGO  ACE  12 X 20CL,84sogge-2003,PAGO,BTL,20CL,PAGO FRANCE
68283,c10-1100002408,PAGO ACE 20CL VP X12,84sogge-2003,PAGO,BTL,20CL,PAGO FRANCE
68284,c10-1100000795,PAGO ACE 20CL VP X24,84sogge-2007,PAGO,BTL,20CL,PAGO FRANCE
82237,mp-2963,PAGO  ACE  24 X 20CL,84sogge-2007,PAGO,BTL,20CL,PAGO FRANCE
84182,fb-111979,PAGO LITCHI                      12X20CL,84sogge-734,PAGO,BTL,20CL,PAGO FRANCE
68314,c10-1100006063,PAGO NECTAR LITCHI 20CL VP X12,84sogge-734,PAGO,BTL,20CL,PAGO FRANCE
82214,mp-22979,PAGO  CRANBERRY 12X20CL,84sogge-883,PAGO,BTL,20CL,PAGO FRANCE
68293,c10-1100001893,PAGO CRANBERRY 20CL VP X12,84sogge-883,PAGO,BTL,20CL,PAGO FRANCE
84175,fb-95262,PAGO CRANBERRY                   12X20CL,84sogge-883,PAGO,BTL,20CL,PAGO FRANCE
82198,mp-260311,PAGO NECTAR ORANGE1 L X 6,84sogge-912,PAGO,PET,1L,PAGO FRANCE
84265,fb-97494,PAGO NECTAR ORANGE           PET 6X100CL,84sogge-912,PAGO,PET,1L,PAGO FRANCE
68321,c10-1100005002,PAGO NECTAR ORANGE 1L PET X6,84sogge-912,PAGO,PET,1L,PAGO FRANCE
82217,mp-120815,PAGO NECTAR ABRICOT 12X20CL,84sogge-941,PAGO,BTL,20CL,PAGO FRANCE
68304,c10-1100002409,PAGO NECTAR ABRICOT 20CL VP X12,84sogge-941,PAGO,BTL,20CL,PAGO FRANCE
84183,fb-99445,PAGO NECTAR ABRICOT              12X20CL,84sogge-941,PAGO,BTL,20CL,PAGO FRANCE
68311,c10-1100001717,PAGO NECTAR BANANE 20CL VP X12,84sogge-968,PAGO,BTL,20CL,PAGO FRANCE
82216,mp-33219,PAGO NECTAR BANANE 12X20CL,84sogge-968,PAGO,BTL,20CL,PAGO FRANCE
84185,fb-95540,PAGO NECTAR BANANE               12X20CL,84sogge-968,PAGO,BTL,20CL,PAGO FRANCE
84189,fb-99466,PAGO NECTAR PECHE                12X20CL,84sogge-971,PAGO,BTL,20CL,PAGO FRANCE
68327,c10-1100002415,PAGO NECTAR PECHE 20CL VP X12,84sogge-971,PAGO,BTL,20CL,PAGO FRANCE
82223,mp-120822,PAGO NECTAR PECHE 12 X20CL,84sogge-971,PAGO,BTL,20CL,PAGO FRANCE
82189,mp-130119,PAGO FRAISE  1 L X 6,86sogge-118,PAGO,PET,1L,PAGO FRANCE
84264,fb-100385,PAGO FRAISE                  PET 6X100CL,86sogge-118,PAGO,PET,1L,PAGO FRANCE
68296,c10-1100002783,PAGO FRAISE 1L PET X6,86sogge-118,PAGO,PET,1L,PAGO FRANCE
84099,fb-106604,PAGO ACE                         BIB 10L,86sogge-167,PAGO,BIB,10L,PAGO FRANCE
68281,c10-1100004170,PAGO ACE 10L BIB,86sogge-167,PAGO,BIB,10L,PAGO FRANCE
82202,mp-150617,BIB PAGO ACE 10 L,86sogge-167,PAGO,BIB,10L,PAGO FRANCE
82196,mp-260309,PAGO JUS ABC POMME 1 L X 6,86sogge-416,PAGO,PET,1L,PAGO FRANCE
68269,c10-1100001859,PAGO ABC POMME 1L PET X6,86sogge-416,PAGO,PET,1L,PAGO FRANCE
68318,c10-1100002784,PAGO NECTAR MANGUE 1L PET X6,87sogge-103,PAGO,PET,1L,PAGO FRANCE
82190,mp-130120,PAGO NECTAR MANGO  1 L X 6,87sogge-103,PAGO,PET,1L,PAGO FRANCE
82221,mp-120820,PAGO NECTAR ORANGE 12X20CL,87sogge-87,PAGO,BTL,20CL,PAGO FRANCE
84187,fb-99464,PAGO NECTAR ORANGE              12X20CL,87sogge-87,PAGO,BTL,20CL,PAGO FRANCE
68322,c10-1100000749,PAGO NECTAR ORANGE 20CL VP X12,87sogge-87,PAGO,BTL,20CL,PAGO FRANCE
