entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
36254,c10-1100003916,FANTA FRAISE KIWI PET 1.5L X12,,FANTA,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
83723,fb-111255,FANTA EXOTIQUE SLIM          BTE 24X33CL,84sogge-1073,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
36253,c10-1200009279,FANTA EXOTIQUE 33CL BTE SLIM X24,84sogge-1073,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
82068,mp-469,BIB FANTA ORANGE  5 L,84sogge-1102,FANTA,BIB,5L,COCA COLA ENTREPRISE,
83695,fb-10376,FANTA ORANGE                      BIB 5L,84sogge-1102,FANTA,BIB,5L,COCA COLA ENTREPRISE,
36265,c10-1100000296,FANTA ORANGE BIB 5L,84sogge-1102,FANTA,BIB,5L,COCA COLA ENTREPRISE,
36247,c10-1100005092,FANTA CITRON FRAPPE PET 50CL X12,84sogge-1159,FANTA,PET,50CL,COCA COLA ENTREPRISE,
83946,fb-109273,FANTA CITRON FRAPPE          PET 12X50CL,84sogge-1159,FANTA,PET,50CL,COCA COLA ENTREPRISE,
82071,mp-160441,FANTA CITRON FRAPPE PET12X50CL,84sogge-1159,FANTA,PET,50CL,COCA COLA ENTREPRISE,
36238,c10-1100005689,FANTA CITRON FRAPPE 33CL BTE SLIM X24,84sogge-1169,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
83722,fb-109264,FANTA CITRON FRAPPE SLIM     BTE 24X33CL,84sogge-1169,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
83725,fb-109266,FANTA ORANGE SLIM            BTE 24X33CL,84sogge-1170,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
36261,c10-1100004933,FANTA ORANGE 33CL BTE SLIM X24,84sogge-1170,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
36241,c10-1100000291,FANTA CITRON FRAPPE BTE 33CL X24,84sogge-1661,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
82083,mp-150023,BTE FANTA CITRON FRAPPE 24X33C,84sogge-1661,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
82085,mp-1198,FANTA CITRON FRAPPE PET24X50CL,84sogge-1662,FANTA,PET,50CL,COCA COLA ENTREPRISE,
36248,c10-1100000294,FANTA CITRON FRAPPE PET 50CL X24,84sogge-1662,FANTA,PET,50CL,COCA COLA ENTREPRISE,
82070,mp-160440,FANTA ORANGE PET 12X50 CL,84sogge-1718,FANTA,PET,50CL,COCA COLA ENTREPRISE,
36278,c10-1100005085,FANTA ORANGE PET 50CL X12,84sogge-1718,FANTA,PET,50CL,COCA COLA ENTREPRISE,
83947,fb-109272,FANTA ORANGE                 PET 12X50CL,84sogge-1718,FANTA,PET,50CL,COCA COLA ENTREPRISE,
82076,mp-2753,BIB FANTA ORANGE 19 L,84sogge-1996,FANTA,BIB,19L,COCA COLA ENTREPRISE,
36264,c10-1100000295,FANTA ORANGE BIB 19L,84sogge-1996,FANTA,BIB,19L,COCA COLA ENTREPRISE,
83881,fb-62694,FANTA CITRON FRAPPE GC        VP 24X33CL,84sogge-897,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
36249,c10-1100000292,FANTA CITRON FRAPPE VP 33CL X24,84sogge-897,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
82082,mp-8981,FANTA CITRON FRAPPE VP 24X33CL,84sogge-897,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
83882,fb-62693,FANTA ORANGE GC               VP 24X33CL,84sogge-898,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
82081,mp-8980,FANTA ORANGE VP 24X33CL,84sogge-898,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
36263,c10-1100000298,FANTA ORANGE 33CL VP X24,84sogge-898,FANTA,BTL,33CL,COCA COLA ENTREPRISE,
